Titulo;Marca;Modelo;Versao;Ano_Fab;Ano_Mod;Quilometragem;Cambio;Portas;Tipo_Carroceria;Cor;Preco;Cidade;Vendedor;Atributos;Descricao;Link
RAM RAMPAGE 2.0 HURRICANE 4 TURBO GASOLINA LARAMIE 4X4 AUTOMÁTICO;RAM;RAMPAGE;2.0 HURRICANE 4 TURBO GASOLINA LARAMIE 4X4 AUTOMÁTICO;2024;2025.0;12000.0;Automática;4;Picape;Cinza;219000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca;Veículo revisado, com cautelar aprovada e abaixo da Fipe Mais opcionais: Completo, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/64221766
BMW M 850i 4.4 V8 TWINPOWER GASOLINA XDRIVE STEPTRONIC;BMW;M 850i;4.4 V8 TWINPOWER GASOLINA XDRIVE STEPTRONIC;2019;2020.0;13817.0;Automática;4;Cupê;Branco;599950.0;Florianópolis;BMW Top Car - Florianópolis;Aceita troca;[CDAJDID];https://www.webmotors.com.br/comprar/64463948
LAND ROVER RANGE ROVER SPORT 3.0 D300 TURBO DIESEL HSE AUTOMÁTICO;LAND ROVER;RANGE ROVER SPORT;3.0 D300 TURBO DIESEL HSE AUTOMÁTICO;2021;2022.0;63000.0;Automática;4;Utilitário esportivo;Branco;419000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca;Veículo revisado, com cautelar aprovada e abaixo da Fipe. Mais opcionais: Completo, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/63459549
MERCEDES-BENZ A 200 1.6 CGI FLEX 7G-DCT;MERCEDES-BENZ;A 200;1.6 CGI FLEX 7G-DCT;2017;2018.0;53000.0;Automática;4;Hatchback;Branco;117000.0;Florianópolis;Top Car selection - Florianópolis;Aceita troca;LAUDO CAUTELAR APROVADO, CARRO REVISADO EM OTIMO ESTADO - Mais opcionais: Completo, Direção Elétrica. Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/64821831
KIA NIRO 1.6 GDI HEV SX PRESTIGE DCT;KIA;NIRO;1.6 GDI HEV SX PRESTIGE DCT;2023;2024.0;40891.0;Semi-automática;4;Utilitário esportivo;Verde;178900.0;Florianópolis;Kia Auto Premier - Florianópolis;Aceita troca, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;Farol de neblina, Entrada USB, Direção Elétrica, Kit Multimídia, Baixa km, Garantia da Loja, Nenhuma Batida, Oferta da semana, Pneus Novos, Feito Vistoria Cautelar  Modelos revisados, com procedência garantida e condições especiais. Aproveite as oportunidades e venha fazer um test drive!  Disponível na Auto Premier Kia Florianópolis;https://www.webmotors.com.br/comprar/63119574
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;VOLKSWAGEN;T-CROSS;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2023;2023.0;38000.0;Automática;4;Utilitário esportivo;Cinza;112900.0;Florianópolis;TRACAO VEICULOS;Aceita troca;T-Cross Comfortline 2023 em excelente estado de conservação, com baixo km e histórico de procedência. Veículo com revisões em dia, documentação ok e uso cuidadoso. SUV moderno, confortável e seguro, oferecendo ótimo espaço interno, bom desempenho, economia e tecnologia para o dia a dia. Conta com garantia para sua tranquilidade e está pronta para transferência. Ótima oportunidade! ;https://www.webmotors.com.br/comprar/64711657
BMW 320i 2.0 16V TURBO FLEX SPORT GP AUTOMÁTICO;BMW;320i;2.0 16V TURBO FLEX SPORT GP AUTOMÁTICO;2025;2025.0;0.0;Automática;4;Sedã;Branco;365950.0;Florianópolis;BMW Top Car - Florianópolis;Aceita troca;[CBCIACE];https://www.webmotors.com.br/comprar/59851226
HYUNDAI HR 2.5 LONGO SEM CAÇAMBA 4X2 16V 130CV TURBO INTERCOOLER DIESEL 2P MANUAL;HYUNDAI;HR;2.5 LONGO SEM CAÇAMBA 4X2 16V 130CV TURBO INTERCOOLER DIESEL 2P MANUAL;2015;2016.0;320334.0;Manual;2;Van/Utilitário;Branco;95900.0;Florianópolis;Kia Auto Premier - Florianópolis;Aceita troca, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;Farol de neblina, Baixa km, Garantia da Loja, Nenhuma Batida, Oferta da semana, Pneus Novos, Feito Vistoria Cautelar  Modelos revisados, com procedência garantida e condições especiais. Aproveite as oportunidades e venha fazer um test drive!  Disponível na Auto Premier Kia Florianópolis;https://www.webmotors.com.br/comprar/64709025
KIA EV5 88,16 KW ELÉTRICO LAND;KIA;EV5;88,16 KW ELÉTRICO LAND;2024;2025.0;0.0;Automática;4;Utilitário esportivo;Preto;389900.0;Florianópolis;Kia Auto Premier - Florianópolis;Aceita troca, Garantia de fábrica;KIA EV5 100% ELETRICO COM UMA AUTONOMIA INCRIVEL DE ATE 600KM .  VEICULO EXPOSTO DA UNIADADE DA KIA AUTO PREMIER DE BALNEARIO CAMBORIU .  CONSULTE CONDIÇOES DIFERENCIADAS 47 99721 5022 NEUSA  Outros Opcionais: Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Kit Multimídia, Pára-choques na cor do veículo.;https://www.webmotors.com.br/comprar/64007591
BYD SONG PLUS 1.5 DM-I HÍBRIDO AUTOMÁTICO;BYD;SONG PLUS;1.5 DM-I HÍBRIDO AUTOMÁTICO;2023;2024.0;51000.0;Automática;4;Utilitário esportivo;Preto;174000.0;Florianópolis;Particular;Todas as revisões feitas pela agenda do carro, Todas as revisões feitas pela concessionária, Garantia de fábrica;BYD Song Plus GS DM Híbrido – 2023/2024 235cv, muito econômico, confortável e silencioso.  Design moderno e ótima tecnologia.  Veículo em excelente estado geral, com pequenos detalhes estéticos na lataria para fazer, nada estrutural.  Revisões em dia, documentação ok e pronto para transferir.  Ótima oportunidade.  ;https://www.webmotors.com.br/comprar/64829771
PORSCHE 718 2.0 16V H4 GASOLINA BOXSTER PDK;PORSCHE;718;2.0 16V H4 GASOLINA BOXSTER PDK;2023;2023.0;12880.0;Automática;2;Conversível;Amarelo;499990.0;Florianópolis;Porsche Center Florianopolis;Aceita troca, Único dono, Todas as revisões feitas pela concessionária, IPVA pago, Licenciado;"amarelo Racing, capota em azul, pacote de couro com bancos parcialmente em couro preto – crayon, bancos esportivos (2 vias, elétricos), barra anticapotagem pintada na cor da carroceria, rodas boxster s de 19"", cubos de roda com escudo porsche colorido, faróis bi-xenon, incluindo o porsche dynamic light system (pdls), câmera de ré incluindo parkassist na dianteira e traseira, sistema porsche entry & drive, cintos de segurança em amarelo racing, sistema de som bose® surround. ";https://www.webmotors.com.br/comprar/63439743
PEUGEOT 208 1.5 ACTIVE PACK 8V FLEX 4P MANUAL;PEUGEOT;208;1.5 ACTIVE PACK 8V FLEX 4P MANUAL;2015;2016.0;98000.0;Manual;4;Hatchback;Prata;39900.0;Florianópolis;LIMA & VARELA VEICULOS;Aceita troca, IPVA pago, Licenciado;VEÍCULO REVISADO, PNEUS NOVOS, POSSUI MANUAL E CHAVE RESERVA, MUITO NOVO!!! VENHA CONHECER NOSSA LOJA E APROVEITAR ESTA OFERTA, ACEITAMOS SEU VEÍCULO NA TROCA, FINANCIAMOS EM ATÉ 60X, PARCELAMOS SUA ENTRADA EM 24X NO CARTÃO. www.lvveículos.com.br Mais opcionais: Aérofólio, Airbag Duplo, Ar Condicionado Digital, Ar Condicionado Dual Zone, Assistente de Partida em Rampa, Banco Bipartido, Chave Reserva, Completo, Parachoque na Cor do V... Publicado pelo Autos 360, o integrador oficial do Grupo OLX.;https://www.webmotors.com.br/comprar/63788493
